Little Miss BBQ,"Barbeque, Restaurants",2329,5.0
Brew Tea Bar,"Restaurants, Food, Cafes, Tea Rooms, Bubble Tea, Desserts",1827,5.0
Cocina Madrigal,"Restaurants, Mexican",1107,5.0
Green Corner Restaurant,"Restaurants, Halal, Mediterranean, Sandwiches, Greek, Arabian, Salad",858,5.0
Worth Takeaway,"Breakfast & Brunch, American (Traditional), American (New), Sandwiches, Restaurants",842,5.0
Zenaida's Cafe,"Cafes, Breakfast & Brunch, Restaurants",717,5.0
Kodo Sushi Sake,"Sushi Bars, Restaurants, Japanese",695,5.0
Bajamar Seafood & Tacos,"Fast Food, Dive Bars, Bars, Tacos, Seafood, Nightlife, Mexican, Restaurants",658,5.0
Karved,"Restaurants, Sandwiches, Fast Food, Salad, American (New), American (Traditional), Barbeque",651,5.0
Not Your Typical Deli,"Restaurants, Sandwiches, Delis, Caterers, Cuban, Event Planning & Services",645,5.0
